name,bio,summary,area,profession,nationality,x,y
françois affolter,"françois affolter is a swiss football defender currently playing for fc luzern . he made his senior debut for young boys at the age of 17 years on 14 september 2008 in a 2 -- 1 victory over ac bellinzona , replacing marc schneider in the starting eleven due to suspension . since that match , he has been a regular starter for the club in their three-man defence , alongside saif ghezal and miguel alfredo portillo . before he played with the first team , he was playing with the under 18 team . he won the under 18 championship the same year . then , he joined the first team for friendly matches in the summer of 2008 and the new bsc young boys trainer vladimir petkovic gave him his chance . since then he played every single matches with the first team . so far , he played ten swiss super league matches , two swiss cup matches and one uefa cup match and never lost a match in the swiss super league . he signed his first professional contract with bsc young boys in november 2008 . after three seasons with young boys , he was loaned to german club werder bremen . after an unsuccessful half year at bsc young boys , he decided to transfer to swiss side fc luzern for an undisclosed fee . his contract expires in june 2018 . birth_date: 13 march 1991 | fullname: françois jacques affolter | birth_place: biel/bienne bern switzerland | position: defender","françois affolter is a swiss football defender currently playing for fc luzern. he made his senior debut for young boys at the age of 17 years on 14 september 2008 in a 2 -- 1 victory over ac bellinzona, replacing marc schneider in the starting eleven due to suspension. since that match, he has been a regular starter for the club in their three-man defence, alongside saif ghezal and miguel alfredo portillo. before he played with the first team, he was playing with the under 18 team. he won the under 18 championship the same year. then, he joined the first team for friendly matches in the summer of 2008 and the new bsc young boys trainer vladimir petkovic gave him his chance. since then he played every single matches with the first team. so far, he played ten swiss super league matches, two swiss cup matches and one uefa cup match and never lost a match in the swiss super league. he signed his first professional contract with bsc young boys in november 2008. after three seasons with young boys, he was loaned to german club werder bremen. after an unsuccessful half year at bsc young boys, he decided to transfer to swiss side fc luzern for an undisclosed fee. his contract expires in june 2018.",sports,soccer defender,swiss,10.009215,7.061475
robin parrish,"michael robin parrish is an american author and journalist . his various credits in the field of journalism , include senior editing positions for christian music related websites about christian music , cmcentral.com , and writing credits among the likes of `` christian musician magazine '' , `` ccm magazine '' , and others . in january 2004 , parrish created the website infuze magazine , which claimed to be a unique mixture of the concepts art and faith . in 2008 , he co-created `` popculturegeek.com '' , a website devoted to fandom and all the things pop culture fans are most passionate about . birth_place: united states | nationality: united states | birth_date: 13 october 1975 | genre: christian fiction | occupation: christian author editor","Michael Robin Parrish is an American author and journalist. His various credits in the field of journalism include senior editing positions for Christian music-related websites such as cmcentral.com and writing credits among the likes of Christian Musician Magazine, CCM Magazine, and others. In January 2004, Parrish created the website Infuze Magazine, which claimed to be a unique mixture of the concepts art and faith. In 2008, he co-created popculturegeek.com, a website devoted to fandom and all the things pop culture fans are most passionate about. Parrish is known for his work in the Christian fiction genre.",arts & entertainment,christian author,american,7.0176897,8.28813
prashant bhushan,"prashant bhushan is an indian lawyer , activist and politician . he is noted for his use of public interest litigation to support a number of causes related to corruption , environmental protection and human rights . he was a prominent member of the faction of the india against corruption movement known as team anna which supported anna hazare 's campaign for the implementation of the jan lokpal bill . after a split in iac , he helped team anna form the aam aadmi party and was behind most of aap 's exposures . in 2015 , he made several allegations against the party 's leadership , it 's functioning & deviation from its core ideology , values & commitments . he is among the founder members of swaraj abhiyan and is a force behind sambhaavnaa an institute of public policy & politics . birth_date: 15 october 1956 | known_for: public interest litigation | residence: noida | alma_mater: allahabad university","prashant bhushan is an indian lawyer, activist and politician. He is noted for his use of public interest litigation to support a number of causes related to corruption, environmental protection and human rights. He was a prominent member of the India Against Corruption movement known as Team Anna which supported Anna Hazare's campaign for the implementation of the Jan Lokpal Bill. After a split in IAC, he helped Team Anna form the Aam Aadmi Party and was behind most of AAP's exposures. In 2015, he made several allegations against the party's leadership, its functioning & deviation from its core ideology, values & commitments. He is among the founder members of Swaraj Abhiyan and is a force behind Sambhaavnaa an institute of public policy & politics.",politics & law,activist,indian,4.088216,8.147498
glenda jackson,"glenda may jackson , cbe is a british labour party politician and actress . she first became a member of parliament in 1992 , and represented hampstead and kilburn until 2015 . as a professional actress from the late 1950s , she spent four years as a member of the royal shakespeare company from 1964 , being particularly associated with the work of director peter brook . during her film career , she won two academy awards for best actress : for `` women in love '' and `` a touch of class '' . other award-winning performances include alex in the film `` sunday bloody sunday '' and the bbc television serial `` elizabeth r '' ; for the latter she received an emmy . before 2010 , jackson was the mp for hampstead and highgate , and early in the government of tony blair served as a junior transport minister from 1997 to 1999 , later becoming critical of blair . after constituency boundary changes for the 2010 general election , her majority of 42 votes was one of the closest results of the entire election . she announced in 2011 that she would stand down as an mp at the 2015 general election . children: dan | birth_place: birkenhead england | party: labour | birth_date: 9 may 1936 | alma_mater: royal academy of dramatic art","glenda may jackson, cbe is a british labour party politician and actress. she first became a member of parliament in 1992, and represented hampstead and kilburn until 2015. as a professional actress from the late 1950s, she spent four years as a member of the royal shakespeare company from 1964, being particularly associated with the work of director peter brook. during her film career, she won two academy awards for best actress : for `` women in love '' and `` a touch of class '' . other award-winning performances include alex in the film `` sunday bloody sunday '' and the bbc television serial `` elizabeth r '' ; for the latter she received an emmy. before 2010, jackson was the mp for hampstead and highgate, and early in the government of tony blair served as a junior transport minister from 1997 to 1999, later becoming critical of blair. after constituency boundary changes for the 2010 general election, her majority of 42 votes was one of the closest results of the entire election. she announced in 2011 that she would stand down as an mp at the 2015 general election.",arts & entertainment,actor,british,6.8549256,8.538044
paul kariya,"paul tetsuhiko kariya is a canadian former professional ice hockey winger who played 15 seasons in the national hockey league . known as a skilled and fast-skating offensive player , he played in the nhl for the mighty ducks of anaheim , colorado avalanche , nashville predators and st. louis blues . after a two-year career with the penticton panthers , in which he was named canadian junior a player of the year in 1992 , kariya joined the college ranks with the university of maine 's black bears men 's ice hockey team . in his freshman year , he received the hobey baker award while leading his team to the 1993 ncaa title . selected fourth overall in the 1993 nhl entry draft by the mighty ducks , he joined the team in 1994 -- 95 and was named to the nhl all-rookie team . during his nine-year tenure with anaheim , kariya formed an effective duo with fellow winger teemu selänne that helped him to three nhl first all-star team distinctions , while also finishing as the first runner-up for the hart memorial trophy in 1997 . not an aggressive player , he won back-to-back lady byng trophies in 1996 and 1997 as the league 's most gentlemanly player . serving as a captain for seven seasons , he led the mighty ducks to the 2003 stanley cup finals , where they lost to the new jersey devils in seven games . after a single-season stint with the avalanche for the purpose of reuniting with selänne , who had previously been traded away from anaheim , kariya signed with the predators in august 2005 . he played two seasons in nashville , setting team records for assists and points scored in a single-season in 2005 -- 06 . kariya then finished his career playing three seasons with the blues . internationally , kariya represented canada on numerous stages and at different levels . he won gold at the 1993 world junior championships , his second appearance at the tournament . he made his first appearance at the winter olympics in 1994 as an amateur , winning silver . eight years later , he helped canada win gold at the winter olympics in salt lake city . in between olympic appearances , he won gold and silver at the 1994 and 1996 world championships , respectively . throughout his nhl career , kariya struggled with concussions , which eventually forced his retirement in june 2011 after sitting out the season because of post-concussion syndrome . psychiatrist daniel amen provided diagnosis and therapy for kariya , advising him to retire as a professional , which he did . birth_place: vancouver bc can | position: left wing | birth_date: 16 october 1974","{   ""summary"": ""paul tetsuhiko kariya is a canadian former professional ice hockey winger who played 15 seasons in the national hockey league. known as a skilled and fast-skating offensive player, he played in the nhl for the mighty ducks of anaheim, colorado avalanche, nashville predators and st. louis blues. after a two-year career with the penticton panthers, in which he was named canadian junior a player of the year in 1992, kariya joined the college ranks with the university of maine's black bears men's ice hockey team. in his freshman year, he received the hobey baker award while leading his team to the 1993 ncaa title. selected fourth overall in the 1993 nhl entry draft by the mighty ducks, he joined the team in 1994-95 and was named to the nhl all-rookie team. during his nine-year tenure with anaheim, kariya formed an effective duo with fellow winger teemu selänne that helped him to three nhl first all-star team distinctions, while also finishing as the first runner-up for the hart memorial trophy in 1997. not an aggressive player, he won back-to-back lady byng trophies in 1996 and 1997 as the league's most gentlemanly player. serving as a captain for seven seasons, he led the mighty ducks to the 2003 stanley cup finals, where they lost to the new jersey devils in seven games. after a single-season stint with the avalanche for the purpose of reuniting with selänne, who had",other,unknown,unknown,9.9539585,8.94835
sam calder,"stephen edward `` sam '' calder am , obe was a decorated world war ii flying ace , member of the australian house of representatives , and founder of the northern territory country liberal party , one of the more successful political parties in australia 's history . calder was born in melbourne , victoria and educated at melbourne grammar before joining the royal australian air force in 1932 . trained as a pilot , calder flew typhoon planes throughout world war ii , completing 120 missions over europe and receiving the distinguished flying cross for his troubles . following the end of hostilities in 1945 , calder returned to australia and worked as the chief pilot for northern territory-based airline connellan airways . the airline prospered as it provided a vast network of medical , passenger and mail services throughout the northern territory , although it would eventually collapse following a decision by then nt chief minister paul everingham , a political opponent of calder , to give competing airline ansett airlines the rights to the darwin-alice springs route . not content with this , calder also took on the challenge of managing cattle stations the size of some european countries , as he attempted to wrest a profit from the barren soil of the australian outback . calder 's high profile in the nt led federal country party leader john mcewen to ask him to stand as a country party candidate at the 1966 federal election . the division of northern territory had long been in labor party hands , and the country party had last put up a candidate there in 1954 . however , calder was able to wrest the seat away , at first by only 400-odd votes in 1966 , but extending that into thousands over the next decade and a half . calder played an active role in parliament , pushing for development in the nt , and could claim some of the credit for the construction of the adelaide-alice springs train line and several new roads , and the nt being granted self-government , senate representation , and the right to vote in national referendums . following the granting of self-government in 1978 , calder founded the country liberal party , which held government in the nt for over a quarter of a century . calder also had many ambitious plans which failed to see the light of day , including statehood for the nt and a nuclear power station in the nt . he retired in 1980 . for his entire political career , calder was a staunch opponent of aboriginal land rights , believing that the then governing labor party had sold australia to the aboriginals . even in retirement , calder continued to fight the furthering of aboriginal rights , arguing that they made aboriginals lazy . calder died in darwin late in the evening of 30 september 2008 , aged 92 . party: country clp | birth_date: 10 august 1916","{   ""summary"": ""sam calder was a decorated world war ii flying ace, member of the australian house of representatives, and founder of the northern territory country liberal party, one of the more successful political parties in australia's history. calder was born in melbourne, victoria and educated at melbourne grammar before joining the royal australian air force in 1932. trained as a pilot, calder flew typhoon planes throughout world war ii, completing 120 missions over europe and receiving the distinguished flying cross for his troubles. following the end of hostilities in 1945, calder returned to australia and worked as the chief pilot for northern territory-based airline connellan airways. the airline prospered as it provided a vast network of medical, passenger, and mail services throughout the northern territory, although it would eventually collapse following a decision by then nt chief minister paul everingham, a political opponent of calder, to give competing airline ansett airlines the rights to the darwin-alice springs route. not content with this, calder also took on the challenge of managing cattle stations the size of some european countries, as he attempted to wrest a profit from the barren soil of the australian outback. calder's high profile in the nt led federal country party leader john mcewen to ask him to stand as a country party candidate at the 1966 federal election. the division of northern territory had long been in labor party hands, and the country party had last put up a candidate there in 1954. however, calder was able to wrest the seat away, at first by only 400-odd votes in 1966, but extending that into thousands over the next decade and a half. calder played an active role in parliament, pushing for development in",other,unknown,unknown,6.806052,11.019663
oscar acosta,"oscar carlos acosta was an american professional baseball player and pitching coach . he and a colleague , humberto trejo , were killed in an automobile accident on april 19 , 2006 , while coaching in the new york yankees minor league system . acosta , who was 49 years old at the time of his death , served as international coordinator of instruction as well as manager of the gulf coast yankees of the yankees ' gulf coast team in tampa since 2004 , guiding the team to the gulf coast league championship in his final two seasons . he had first joined the yankees ' organization in 1996 , spending three seasons as the pitching coach at triple-a columbus . birth_date: 21 march 1957","Oscar Acosta was an American professional baseball player and pitching coach. He served as international coordinator of instruction as well as manager of the Gulf Coast Yankees of the New York Yankees' Gulf Coast team in Tampa since 2004, guiding the team to the Gulf Coast League championship in his final two seasons. Acosta, who was 49 years old at the time of his death, had first joined the Yankees' organization in 1996, spending three seasons as the pitching coach at triple-A Columbus.",sports,pitching coach,american,9.162025,10.652293
harold coward,"harold coward is a canadian scholar of bioethics and religious studies . he is the author of many publications and has been profiled in `` the vancouver sun '' . coward 's works and publications have been discussed multiple times in popular media . in 1994 , `` the vancouver sun '' described coward as `` one of the world 's leaders in creating a constructive religious response to the population crisis '' . in 1997 , coward was described as `` arguably the most dynamic religion scholar in canada today '' . coward was the first director at the university of calgary press . coward was director of the university of victoria 's centre for studies in religion and society . coward is a director at genome british columbia . an honorary collection of essays has been dedicated to coward . birth_date: 1936","harold coward is a canadian scholar of bioethics and religious studies. he is the author of many publications and has been profiled in `` the vancouver sun '' . coward 's works and publications have been discussed multiple times in popular media. in 1994, `` the vancouver sun '' described coward as `` one of the world 's leaders in creating a constructive religious response to the population crisis '' . in 1997, coward was described as `` arguably the most dynamic religion scholar in canada today '' . coward was the first director at the university of calgary press. coward was director of the university of victoria 's centre for studies in religion and society. coward is a director at genome british columbia. an honorary collection of essays has been dedicated to coward. ",science & academia,scholar,canadian,5.981069,9.261583
ed hug,"edward ambrose hug was an american major league baseball catcher . he played in one game for the brooklyn superbas in . hug 's sole major league appearance came in the second game of a doubleheader in cincinnati on july 6 . he was a local amateur catcher at the time and was called upon to relieve a fatigued lew ritter in the fifth inning . he walked in his only plate appearance . the game was called in the seventh inning , to allow the brooklyn team to catch their train out of town . hug shares the major league records for the shortest name and the shortest career . he is buried at new st. joseph cemetery in cincinnati . death_date: 11 may 1953 | birth_place: fayetteville ohio u.s. | position: catcher | birth_date: 14 july 1880","edward ambrose hug was an american major league baseball catcher. he played in one game for the brooklyn superbas in . hug 's sole major league appearance came in the second game of a doubleheader in cincinnati on july 6, 1908. he was a local amateur catcher at the time and was called upon to relieve a fatigued lew ritter in the fifth inning. he walked in his only plate appearance. the game was called in the seventh inning, to allow the brooklyn team to catch their train out of town. hug shares the major league records for the shortest name and the shortest career. he is buried at new st. joseph cemetery in cincinnati.",sports,catcher,american,8.769993,10.515594
jason newsted,"jason curtis newsted is an american metal musician , known for playing bass guitar with the bands metallica , voivod and flotsam and jetsam . joining metallica in 1986 after cliff burton 's death , newsted remained a member until 2001 , making him the band 's longest-serving bassist . after he left metallica , he continued with his project echobrain , played with ozzy osbourne and joined heavy metal band voivod . newsted uses the pseudonym jasonic , which serves as both his alias in voivod and the name of his music publishing company . he is also the founder of the chophouse records studio and label based in california . he currently plays in his self-titled band newsted , in which he provides lead vocals as well as bass . associated_acts: metallica voivod echobrain rock star supernova ozzy osbourne spastik children whocares govt mule newsted flotsam megadeth unkle and jetsam papa wheelie | birth_place: battle creek michigan | background: solo_singer | birth_date: 4 march 1963 | instrument: bass guitar drums vocals | genre: heavy progressive metal hard rock alternative metal stoner metal rock punk rock thrash metal speed metal | occupation: musician songwriter","jason curtis newsted is an american metal musician, known for playing bass guitar with the bands metallica, voivod, and flotsam and jetsam. Joining metallica in 1986 after cliff burton's death, newsted remained a member until 2001, making him the band's longest-serving bassist. After he left metallica, he continued with his project echobrain, played with ozzy osbourne, and joined heavy metal band voivod. Newsted uses the pseudonym jasonic, which serves as both his alias in voivod and the name of his music publishing company. He is also the founder of the chophouse records studio and label based in california. He currently plays in his self-titled band newsted, in which he provides lead vocals as well as bass. Newsted was born in battle creek, Michigan, and is of white ethnicity.",arts & entertainment,musician,american,6.9988675,5.71758
earl m. monson,"earl merrill monson was a general authority of the church of jesus christ of latter-day saints from 1998 to 2002 . he was a member of the second quorum of the seventy . monson was born in salt lake city , utah to charles h. monson and his wife , ortencia h. merrill . he was raised in that city , where he learned to play the violin and was in multiple orchestras conducted by frank w. asper . monson attended the university of utah , where he met his wife , donna mae hill . after their marriage in the salt lake temple in 1954 , monson joined the united states army . he later earned a bachelor 's degree from iowa state university . monson was a civil engineer , and from 1962 he worked full-time for the lds church as a structural engineer . in 1982 he became the head of the church 's temple and special projects division and was closely connected with building many temples in the 1980s . prior to his call as a member of the second quorum of the seventy , monson had served as a bishop and a stake president . he lived most of his adult life in kearns , utah , but in the early 1990s moved to sandy , utah . monson and his wife , donna , are the parents of five children . from 2006 to 2009 monson served as president of the manila philippines temple . birth_date: 26 july 1932","Earl Merrill Monson was a general authority of the Church of Jesus Christ of Latter-day Saints from 1998 to 2002, serving as a member of the Second Quorum of the Seventy. Born on July 26, 1932, in Salt Lake City, Utah, he was raised in the same city and learned to play the violin, participating in multiple orchestras. He attended the University of Utah and Iowa State University, where he met his wife, Donna Mae Hill. After their marriage in the Salt Lake Temple in 1954, Monson joined the United States Army. He later earned a bachelor's degree and worked as a civil engineer. From 1962, he worked full-time for the LDS Church as a structural engineer, and in 1982 he became the head of the church's Temple and Special Projects Division, overseeing the construction of many temples in the 1980s. Prior to his call as a member of the Second Quorum of the Seventy, Monson had served as a bishop and a stake president. He lived most of his adult life in Kearns, Utah, but in the early 1990s moved to Sandy, Utah. Monson and his wife, Donna, are the parents of five children. From 2006 to 2009, Monson served as president of the Manila Philippines Temple. Monson was not primarily known for his work in the arts & entertainment industry.",religion & spirituality,clergy,american,6.3281274,10.294613
luigi puccianti,"luigi puccianti was an italian physicist . he is notable for having constructed a highly sensitive spectrograph , with which he studied the infrared absorption of many compounds and attempted to correlate the spectra with molecular structure . he studied the emission spectra of metals and halogens and proposed measuring the wavelength of x-rays by using a diffraction grating at large angles of incidence . he is also particularly notable for being the doctoral advisor of the nobel prize winner enrico fermi . puccianti obtained his phd in 1898 at the university of pisa under angelo battelli . death_date: 9 june 1952 | birth_place: pisa italy | birth_date: 11 june 1875 | alma_mater: university of pisa","luigi puccianti was an italian physicist. he is notable for having constructed a highly sensitive spectrograph, with which he studied the infrared absorption of many compounds and attempted to correlate the spectra with molecular structure. he studied the emission spectra of metals and halogens and proposed measuring the wavelength of x-rays by using a diffraction grating at large angles of incidence. he is also particularly notable for being the doctoral advisor of the nobel prize winner enrico fermi. puccianti obtained his phd in 1898 at the university of pisa under angelo battelli.",science & academia,physicist,italian,5.65525,8.924843
joseph reed sams,"joseph reed sams was a progressive conservative party member of the canadian house of commons . he was born in clarion , iowa , united states and became an insurance agent by career . he was first elected at the wentworth riding in the 1962 general election . after serving his only federal term , the 25th canadian parliament , sams was defeated in the 1963 federal election by john b. morison of the liberal party . sams attempted to win back the riding in the 1965 election but was not successful in unseating morison . death_date: 20 may 2000 | profession: insurance agent | party: progressive conservative | birth_date: 18 august 1923","joseph reed sams was a politician, born on august 18, 1923, in clarion, iowa, united states. he was an insurance agent by career. he served as a member of the canadian house of commons for the progressive conservative party from 1962 to 1963, representing the wentworth riding. after his defeat in the 1963 federal election, he attempted to win back the riding in the 1965 election but was not successful. he passed away on may 20, 2000. sams was known for his progressive conservative ideologies and his service in the canadian parliament.",politics & law,politician,american,6.544302,11.700503
george whitworth,"george h. whitworth was an english footballer who played for northampton town , crystal palace and hull city in the football league . whitworth began his playing career with rushden windmill , and joined northampton town in 1914 , but his career was then interrupted by world war i . he played for crystal palace as a guest in wartime football competitions , but returned to northampton thereafter . it was not until after palace had joined the football league as a founder member of the third division south for season 1920 -- 21 and were subsequently promoted to the second division in 1921 that whitworth joined the club on a full-time basis . he signed in may 1922 , for what was quoted to be a `` large fee '' and played in eight games before the end of the season , scoring twice . over the next three seasons whitworth made a further 105 appearances scoring 46 goals but in 1925 palace were relegated and in may , he moved to sheffield wednesday . however , whitworth could not break into the first team and in november 1925 moved on to hull city , where he made 67 appearances in three seasons scoring 31 goals , before finishing his career with peterborough & fletton united , whom he joined in the 1928 close season .","george h. whitworth was an english footballer who played for northampton town, crystal palace, and hull city in the football league. Whitworth began his playing career with rushden windmill, and joined northampton town in 1914, but his career was then interrupted by world war i. He played for crystal palace as a guest in wartime football competitions, but returned to northampton thereafter. It was not until after palace had joined the football league as a founder member of the third division south for season 1920--21 and were subsequently promoted to the second division in 1921 that whitworth joined the club on a full-time basis. He signed in may 1922, for what was quoted to be a `` large fee '', and played in eight games before the end of the season, scoring twice. Over the next three seasons whitworth made a further 105 appearances scoring 46 goals but in 1925 palace were relegated and in may, he moved to sheffield wednesday. However, whitworth could not break into the first team and in november 1925 moved on to hull city, where he made 67 appearances in three seasons scoring 31 goals, before finishing his career with peterborough & fletton united, whom he joined in the 1928 close season.",sports,footballer,english,11.385508,6.3608093
gareth davies,"gareth davies is a retired welsh footballer who played as a central defender . his career was ended prematurely after a long-term knee injury . although he was born in england he grew up just across the border in wales , and represented them at under 21 level . he joined his local club hereford united as a trainee and made his debut for the first team in 1992 . he was sold to crystal palace in 1995 for a # 120,000 fee , and was later transferred for # 175,000 to reading . he made one premier league appearance for crystal palace in a game against leicester city . he first suffered an injury to his knee while playing for swindon town , which severely restricted his appearances for the club . he retired from professional football in 2002 and played for chippenham town , before retiring from football altogether in 2003 to work in the recruitment industry . fullname: gareth melville davies | position: centre back | birth_date: 11 december 1973","gareth davies is a retired welsh footballer who played as a central defender. his career was ended prematurely after a long-term knee injury. although he was born in england he grew up just across the border in wales, and represented them at under 21 level. he joined his local club hereford united as a trainee and made his debut for the first team in 1992. he was sold to crystal palace in 1995 for a # 120,000 fee, and was later transferred for # 175,000 to reading. he made one premier league appearance for crystal palace in a game against leicester city. he first suffered an injury to his knee while playing for swindon town, which severely restricted his appearances for the club. he retired from professional football in 2002 and played for chippenham town, before retiring from football altogether in 2003 to work in the recruitment industry.",sports,soccer defender,welsh,10.877173,6.6090436
carlos lópez-cantera,"carlos lópez-cantera is an american politician from the state of florida . he is the lieutenant governor of florida , a position that he was sworn into on february 3 , 2014 . he is formerly the property appraiser of miami-dade county following his election on august 14 , 2012 . from 2004-2012 , he represented district 113 in the florida house of representatives , where he served as the republican majority leader during the final two years of his term . on january 14 , 2014 , florida governor rick scott announced lópez-cantera 's appointment to serve out the term of jennifer carroll , who resigned in march 2013 following allegations that she was involved in an effort to steer money into internet cafés that are fronts for gambling , the subject of federal and state criminal investigations . birth_place: madrid spain | party: republican | office: 19th county lieutenant governor of florida property appraiser of miami-dade | birth_date: 29 december 1973 | alma_mater: miami dade college university of miami","carlos lópez-cantera is an american politician from the state of florida. He is the lieutenant governor of florida, a position that he was sworn into on february 3, 2014. He is formerly the property appraiser of miami-dade county following his election on august 14, 2012. From 2004-2012, he represented district 113 in the florida house of representatives, where he served as the republican majority leader during the final two years of his term. On January 14, 2014, Florida governor rick scott announced lópez-cantera's appointment to serve out the term of Jennifer Carroll, who resigned in March 2013 following allegations that she was involved in an effort to steer money into internet cafés that are fronts for gambling, the subject of federal and state criminal investigations.",politics & law,politician,american,4.9623604,10.699949
henry keep,"henry keep was an american football coach . he served as the first head football coach at michigan agricultural college , now known as michigan state university , from 1897 to 1898 , compiling a record of 8 -- 5 -- 1 . he served as the school 's football and track coach while also attending the college as an engineering student . keep was a student at the university of michigan during the 1893 -- 94 academic year before transferring to michigan agricultural . as of 1901 , he was working for the george fuller & co. in new york . keep and his wife , esther maude durgin he also later worked for the carnegie steel company in pittsburgh . death_date: december 1965 | birth_place: troy new york | sport: football | birth_date: 19 july 1872 | alma_mater: michigan agricultural","henry keep was an american football coach. He served as the first head football coach at Michigan Agricultural College, now known as Michigan State University, from 1897 to 1898, compiling a record of 8 -- 5 -- 1. He served as the school's football and track coach while also attending the college as an engineering student. Keep was a student at the University of Michigan during the 1893--94 academic year before transferring to Michigan Agricultural. As of 1901, he was working for the George Fuller & Co. in New York. Keep and his wife, Esther Maude Durgin, also later worked for the Carnegie Steel Company in Pittsburgh. Keep was born on July 19, 1872, in Troy, New York, and died in December 1965.",sports,football coach,american,10.370826,10.384709
the queers,"the queers are an american punk rock band , formed in late 1981 by the portsmouth , new hampshire , native joe king , along with scott gildersleeve , and jack hayes . the band originally broke up in late 1984 , but reformed with joe queer and a new line-up in 1986 . in 1990 , the band signed with shakin ' street records and released their first album `` grow up '' . the album earned the band notoriety within new england , but with the release of their next album 1993 's `` love songs for the retarded '' , on lookout ! records , their following grew larger . in 2006 , after releasing six albums on lookout ! , the band rescinded their master rights from the label , citing breach of contract over unpaid royalties . later that year they signed with asian man records . the queers ' cover of `` wipe out '' was featured in the 2007 columbia pictures and imageworks studios mockumentary film `` surf 's up , '' produced by sony pictures animation and national geographic films . associated_acts: the gg allin drunken cholos the jabbers screeching weasel | background: group_or_band | genre: punk rock pop punk | origin: portsmouth new hampshire united states","the queers are an american punk rock band, formed in late 1981 by joe king in portsmouth, new hampshire. the band originally broke up in late 1984, but reformed with joe queer and a new line-up in 1986. in 1990, the band signed with shakin' street records and released their first album, 'grow up'. the album earned the band notoriety within new england, but with the release of their next album in 1993, 'love songs for the retarded', on lookout! records, their following grew larger. in 2006, after releasing six albums on lookout!, the band rescinded their master rights from the label, citing breach of contract over unpaid royalties. later that year they signed with asian man records. the queers' cover of 'wipe out' was featured in the 2007 columbia pictures and imageworks studios mockumentary film 'surf's up'.",arts & entertainment,musician,american,6.7234855,5.732731
william w. blair,"william wallace blair was an apostle and a member of the first presidency of the reorganized church of jesus christ of latter day saints . blair was born in holley , new york . in 1839 , his family moved to lasalle county , illinois . in 1851 , blair encountered missionaries from the latter day saint movement . on october 8 , 1851 , blair was baptized by william smith , the younger brother of joseph smith , jr. , the founder of the latter day saint movement . in 1852 , blair became somewhat disenchanted with william smith and some of his associates when he `` learned that some of the leading elders were walking in unrighteousness '' . blair investigated and temporarily aligned himself with charles b. thompson 's baneemyites , but ultimately decided that it `` was not the work of god . '' in 1855 , blair aligned himself with john e. page and hazen aldrich , who were claiming to have reorganized the true church of christ . however , in late 1856 , blair aligned himself with latter day saints , including william marks , jason w. briggs , and zenas h. gurley , who were teaching that a `` reorganization '' of joseph smith 's church needed to be effected under smith 's son joseph smith iii . on april 7 , 1857 , blair was re-baptized into this `` reorganization '' by gurley . the following day , he was ordained as a high priest and on october 7 , 1858 at a church conference in zarahemla , wisconsin , blair was ordained an apostle of the reorganization and he became a member of the council of twelve apostles . on october 8 , 1860 , shortly after the rlds church was formally organized , blair was assigned as a missionary to nauvoo , illinois , far west , missouri , and council bluffs , iowa . blair was a successful missionary and baptized many individuals into the rlds church . on april 10 , 1873 , blair was chosen by prophet -- president joseph smith iii to be his first counselor in the first presidency . he served in this capacity until his sudden death while traveling home to lamoni , iowa from a church conference in kirtland , ohio . blair was married to elizabeth j. doty and was the father of seven children . death_date: 18 june 1896 | birth_date: 11 october 1828","{   ""summary"": ""william wallace blair was an apostle and a member of the first presidency of the reorganized church of jesus christ of latter day saints. born in holley, new york, blair moved to lasalle county, illinois in 1839. in 1851, he encountered missionaries from the latter day saint movement and was baptized by william smith, the younger brother of joseph smith, jr. in 1852, blair became disenchanted with william smith and some of his associates and investigated charles b. thompson's baneemyites, but ultimately decided it was not the work of god. in 1855, blair aligned himself with john e. page and hazen aldrich, who were claiming to have reorganized the true church of christ. however, in late 1856, blair aligned himself with latter day saints, including william marks, jason w. briggs, and zenas h. gurley, who were teaching that a reorganization of joseph smith's church needed to be effected under smith's son joseph smith iii. on april 7, 1857, blair was re-baptized into this reorganization by gurley. the following day, he was ordained as a high priest and on october 7, 1858 at a church conference in zarahemla, wisconsin, blair was ordained an apostle of the reorganization and he became a member of the council of twelve apostles. on october 8, 1860, blair was chosen by prophet -- president joseph smith iii to be his",other,unknown,unknown,6.0739555,10.45217
rand miller,"rand miller is ceo and co-founder of `` cyan worlds '' . he and brother robyn miller became famous due to the success of their computer game `` myst '' , which remained the number one-selling game from its release in 1993 until that record was surpassed by the sims nearly a decade later . rand also worked on the game 's sequel , `` riven '' , and later reprised his role as protagonist atrus in ' , ' , ' , `` realmyst '' , and ' . he also co-authored myst novels `` the book of atrus '' , `` the book of ti'ana '' , and the book of d'ni '' . he remains the ceo of cyan worlds . birth_place: cheltenham 1 pennsylvania us | birth_date: 17 january 1959","rand miller is ceo and co-founder of cyan worlds. he and brother robyn miller became famous due to the success of their computer game myst, which remained the number one-selling game from its release in 1993 until that record was surpassed by the sims nearly a decade later. rand also worked on the game's sequel, riven, and later reprised his role as protagonist atrus in myst, realMyst, Uru: Ages Beyond Myst, and Riven: The Sequel to Myst. he also co-authored myst novels the book of atrus, the book of ti'ana, and the book of d'ni. he remains the ceo of cyan worlds.",arts & entertainment,actor,american,7.288938,7.502071
